ticket_id,customer_id,issue_type,severity,resolution_time_hrs
133,15676966,Card Problem,High,21.0
134,15676966,Card Problem,High,25.4
135,15693683,Fraud Alert,Low,1.8
136,15743192,Fraud Alert,Medium,8.7
137,15580146,Billing,Medium,4.7
138,15804919,App Bug,Low,4.9
139,15804919,App Bug,Low,1.2
140,15804919,Card Problem,Critical,
141,15804919,Billing,Medium,5.2
142,15613854,Fraud Alert,Low,5.0
143,15599195,Loan Query,High,N/A
144,43198004,Loan Query,Low,1.8
145,15812878,Loan Query,Low,1.3
146,15812878,Login Issue,Medium,6.8
147,15812878,Loan Query,Low,1.7
148,15602312,Billing,Medium,8.3
149,15602312,App Bug,Medium,8.8
150,15602312,Fraud Alert,Low,1.2
151,15602312,Billing,Critical,58.8
152,15744689,App Bug,Critical,107.1
153,15744689,Fraud Alert,Low,2.6
154,15803526,App Bug,Critical,31.2
155,15803526,Card Problem,Medium,7.1
156,15665790,Card Problem,High,23.2
157,15665790,Fraud Alert,Low,1.0
158,15715951,Card Problem,Medium,10.0
159,15715951,App Bug,Medium,10.2
160,15591100,Billing,Low,1.5
161,15591100,App Bug,Low,2.9
162,15609618,Login Issue,High,48.3
163,15675522,Login Issue,Low,2.3
164,15705512,Billing,High,19.4
165,15698028,Billing,Medium,11.0
166,15661670,App Bug,Medium,10.7
167,15661670,Card Problem,Medium,15.3
168,15600781,Login Issue,Medium,11.8
169,15600781,Card Problem,  Medium  ,7.1
170,15600781,Billing,Low,2.5
171,15682472,  Login Issue  ,High,21.5
172,15580203,Billing,Critical,31.1
173,15580203,App Bug,Medium,6.1
174,15580203,App Bug,Critical,47.6
175,15760085,Card Problem,Low,2.1
176,15627360,Card Problem,Low,2.4
177,15627360,Login Issue,High,36.7
178,15627360,App Bug,Medium,7.6
179,15671137,App Bug,Low,1.7
180,15782688,Fraud Alert,Medium,9.7
181,15782688,App Bug,Low,3.0
182,15740404,Card Problem,Medium,8.1
183,41689952,Billing,Low,1.6
184,15718369,Loan Query,Low,2.2
185,15718369,Fraud Alert,Low,1.7
186,15642004,Login Issue,Medium,9.8
187,15642004,Card Problem,Low,1.5
188,15712543,App Bug,Medium,8.3
189,15712543,Card Problem,High,20.5
190,15712543,App Bug,Low,1.5
191,15802381,Fraud Alert,High,14.1
192,15594408,Card Problem,Medium,14.9
193,15594408,Loan Query,Medium,11.7
194,15594408,Billing,Medium,13.4
195,15594408,App Bug,Medium,10.1
196,15640905,Card Problem,Medium,13.1
197,15640905,  Billing  ,Critical,82.2
198,15628145,Fraud Alert,Medium,10.8
199,15713483,Card Problem,Low,4.6
200,15612350,Fraud Alert,Medium,19.7
201,15612350,Loan Query,Low,4.9
202,15705707,Fraud Alert,Medium,9.8
203,15705707,Login Issue,High,25.4
204,15705707,Fraud Alert,Low,2.5
205,15705707,Loan Query,Critical,58.1
206,15754105,Login Issue,Low,1.2
207,15703264,Loan Query,Low,2.0
208,15703264,Fraud Alert,Low,2.2
209,15811589,Billing,Low,2.6
210,15811589,Billing,Low,1.0
211,15811589,Card Problem,Medium,7.8
212,15811589,Fraud Alert,Low,2.9
213,15689044,Card Problem,Medium,11.5
214,15689044,Card Problem,Critical,32.7
215,15709368,App Bug,Medium,4.4
216,15709368,Fraud Alert,Low,2.6
217,15709368,App Bug,High,31.8
218,15679145,Loan Query,Medium,12.4
219,15679145,Login Issue,Low,3.4
220,15679145,Fraud Alert,High,33.1
221,15655007,Billing,,8.3
222,15655007,Login Issue,Low,2.8
223,15655007,Card Problem,Medium,11.3
224,15623595,Card Problem,Medium,6.7
225,15692132,Card Problem,Medium,8.3
226,15692132,Billing,High,15.6
227,15641122,Loan Query,  High  ,15.4
228,15641122,Card Problem,Medium,10.1
229,15630910,Loan Query,Low,2.1
230,15630910,App Bug,Medium,8.8
231,15680772,App Bug,Medium,7.3
232,15658929,Loan Query,Medium,15.1
233,15658929,Loan Query,Medium,13.6
234,15658929,Fraud Alert,Low,4.6
235,15724623,Login Issue,Low,3.5
236,15724623,Billing,Medium,12.1
237,15574692,Loan Query,Medium,5.6
238,15574692,Login Issue,High,13.1
239,15574692,Billing,High,30.0
240,15611325,Fraud Alert,Medium,11.5
241,15587562,Login Issue,Low,1.5
242,15587562,Billing,High,15.0
243,15587562,Card Problem,Low,1.6
244,15613172,Billing,Low,1.1
245,15651022,Card Problem,High,41.0
246,15586310,Login Issue,Medium,11.4
247,15625524,Card Problem,Medium,11.3
248,15645248,Loan Query,Low,2.2
249,15645248,Billing,Medium,11.3
250,15645248,Login Issue,High,18.7
251,15762615,Billing,Low,2.9
252,15762615,App Bug,Medium,10.9
253,15625426,Fraud Alert,Low,2.2
254,15716334,Fraud Alert,Low,2.8
255,15716334,Fraud Alert,Low,1.1
256,15789669,Card Problem,Medium,6.4
257,15789669,Loan Query,Medium,8.2
258,15621075,Loan Query,Medium,10.1
259,15719377,Login Issue,Critical,59.8
260,15719377,Billing,High,37.3
261,15719377,Login Issue,Low,1.6
262,15719377,Billing,High,31.6
263,15708710,App Bug,Low,1.2
264,15708710,Login Issue,Low,2.3
265,15726676,Fraud Alert,Critical,53.0
266,15726676,App Bug,High,21.5
267,15726931,Login Issue,Low,1.3
268,15726931,Card Problem,Low,1.8
269,39853820,Billing,Medium,9.6
270,15756850,Login Issue,High,20.2
271,15756850,Loan Query,High,20.7
272,15702741,Billing,Low,2.5
273,15702741,Loan Query,Medium,6.4
274,15679200,Fraud Alert,High,14.7
275,15679200,Billing,Medium,11.2
276,15679200,Billing,Medium,2500.0
277,15679200,Billing,Medium,9.1
278,15635905,App Bug,Critical,49.2
279,15635905,,Medium,9.5
280,15777892,Fraud Alert,Low,2.2
281,15777892,Fraud Alert,Low,1.8
282,15777892,Login Issue,High,17.0
283,15622911,App Bug,Low,2.3
284,15622911,Login Issue,Low,2.8
285,15600974,Login Issue,High,32.3
286,15600974,Card Problem,Low,4.0
287,15627801,Card Problem,Low,2.7
288,15627801,Card Problem,Low,2.4
289,15773039,Fraud Alert,Low,2.9
290,15773039,loan query,Medium,5.7
291,15773039,Loan Query,Medium,5.3
292,15679531,Login Issue,Medium,6.7
293,15684181,Billing,Low,2.4
294,15684181,Login Issue,Medium,15.0
295,15612087,Loan Query,Low,1.2
296,15752047,Card Problem,Low,2.2
297,15752047,Billing,Low,2.6
298,15573152,Fraud Alert,Medium,5.5
299,15573152,App Bug,Critical,60.4
300,15573152,Fraud Alert,High,29.4
301,15573152,Loan Query,Critical,67.4
302,15785542,Login Issue,Critical,25.9
303,15785542,Login Issue,Medium,12.0
304,15785542,Fraud Alert,Medium,11.3
305,15785542,Card Problem,Low,2.5
306,15723488,Login Issue,Critical,114.6
307,15723488,Card Problem,Medium,4.9
308,15723488,Billing,low,4.3
309,15723488,Loan Query,Medium,9999.0
310,15659366,Loan Query,Low,3.9
311,15659366,Loan Query,Medium,16.9
312,15659366,Login Issue,High,27.3
313,15774854,Login Issue,Medium,18.0
314,15774854,Fraud Alert,Low,4.5
315,15727829,Fraud Alert,Critical,27.4
316,15733247,App Bug,High,31.3
317,15733247,Loan Query,Medium,13.3
318,15568748,Loan Query,High,32.1
319,15568748,Card Problem,Medium,7.8
320,15568748,Login Issue,Medium,8.8
321,15568748,Billing,Low,-5.0
322,15774393,Billing,Low,1.2
323,15774393,Login Issue,Medium,5.7
ticket_324,15774393,Loan Query,High,18.2
325,15676895,Card Problem,High,57.3
326,15676895,Loan Query,High,59.5
327,15605461,NULL,High,17.5
328,15808473,Login Issue,Low,1.4
329,15787174,Fraud Alert,High,31.2
330,15787174,Card Problem,Critical,66.4
331,15787174,CARD PROBLEM,Medium,8.2
332,15787174,Fraud Alert,Low,2.5
333,15723886,App Bug,High,23.1
334,15723886,Billing,Low,2.1
335,15723886,Card Problem,High,32.6
336,15723886,Loan Query,High,18.4
337,15704769,Login Issue,Low,2.7
338,15772896,Card Problem,Medium,12.8
ticket_339,15772896,Fraud Alert,Low,2.0
340,15772896,Login Issue,Low,3.9
341,15711540,Loan Query,Critical,29.3
342,15794056,App Bug,Medium,11.7
343,15794056,Login Issue,High,39.4
344,15794056,Billing,Medium,17.8
345,15794056,Loan Query,High,50.3
346,15795149,Card Problem,High,29.0
347,15795149,Loan Query,Low,2.9
348,15795149,App Bug,Medium,10.0
349,15812009,Login Issue,High,12.7
350,15812009,Fraud Alert,Low,1.7
351,15812009,Login Issue,High,12.0
352,15651001,App Bug,Medium,4.1
353,15651001,Billing,Medium,Unknown
354,15596175,Fraud Alert,Low,4.3
355,15596175,,Low,1.1
356,15576269,Fraud Alert,Low,2.3
357,15576269,Loan Query,High,30.9
358,15576269,Card Problem,Medium,4.5
359,15576269,Billing,Low,2.5
360,15797219,Card Problem,Low,3.5
361,15797219,App Bug,High,59.5
362,15685500,Loan Query,Medium,8.8
363,15772423,Login Issue,Medium,2500.0
364,15772423,Login Issue,Low,1.6
365,15628112,App Bug,Medium,7.6
366,15628112,Login Issue,Medium,5.8
367,15628112,Card Problem,High,17.5
368,15628112,Loan Query,Low,2.9
369,15793726,Loan Query,High,32.6
370,15793726,Card Problem,Low,1.5
371,15765297,Billing,Medium,5.6
372,15765297,Loan Query,Medium,6.9
373,15636684,Billing,Critical,32.9
374,15607178,App Bug,Medium,4.1
375,15686776,Billing,Medium,10.4
376,15686776,Fraud Alert,Low,2.2
377,15686776,Fraud Alert,Medium,7.4
378,15813163,Card Problem,Low,2.2
379,15813163,App Bug,Critical,31.2
380,15777076,Card Problem,Medium,8.8
381,15717398,Card Problem,High,49.4
382,15717398,Billing,Medium,5.7
383,15717398,Fraud Alert,Low,3.3
384,15799217,Login Issue,Medium,8.5
ticket_385,15619955,Billing,Low,2.4
386,15619955,Login Issue,High,29.2
387,15796505,Login Issue,Low,2.4
388,15796505,Card Problem,Low,2.3
389,15796505,Billing,Low,2.8
390,15796505,Billing,Critical,26.5
391,15725166,Fraud Alert,High,29.1
392,15725166,Card Problem,High,26.7
393,15800116,Login Issue,Medium,10.5
394,15800116,Loan Query,Medium,4.3
395,15800116,Fraud Alert,Medium,4.7
396,15758685,Card Problem,Medium,7.8
397,15694456,App Bug,Critical,56.3
398,15767339,Login Issue,Medium,8.0
399,15767339,App Bug,Low,2.3
400,15683562,Login Issue,Critical,unknown
401,15683562,Fraud Alert,Medium,5.8
402,15683562,Loan Query,Low,1.5
403,15683562,Login Issue,Low,2.9
404,15782210,Loan Query,Medium,9.5
405,15782210,Login Issue,High,36.2
406,15782210,Loan Query,High,39.8
407,15669169,Loan Query,Medium,8.8
408,15643024,Fraud Alert,Low,3.4
409,15643024,Login Issue,Low,2.5
410,15699389,Loan Query,Medium,5.1
411,15708608,Fraud Alert,Low,1.5
412,15708608,Fraud Alert,Medium,7.3
413,15708608,Loan Query,Medium,6.0
414,15626144,Loan Query,Medium,8.6
415,15573112,Billing,Low,1.8
416,15790678,Billing,High,12.2
417,15727556,Card Problem,Low,2.9
418,15727556,Login Issue,High,22.6
419,15697307,App Bug,Medium,5.2
420,15607098,Loan Query,Medium,5.3
421,15655774,Loan Query,MEDIUM,6.9
422,15590241,Loan Query,High,50.7
423,15590241,  Card Problem  ,High,38.8
424,15684173,CARD PROBLEM,Critical,27.8
425,15684173,App Bug,Medium,-5.0
426,15811490,Login Issue,Medium,7.2
427,15803976,Login Issue,Low,2.9
428,15803976,Card Problem,Critical,51.8
429,15803976,Loan Query,Medium,9999.0
430,15803976,Loan Query,Low,1.3
431,15682541,Login Issue,Low,2.3
432,15682541,App Bug,Low,2.5
433,15695699,Login Issue,High,16.3
434,15624188,Fraud Alert,Critical,42.0
435,15624188,Billing,Medium,8.9
436,15636673,Card Problem,Medium,9.4
437,15636673,App Bug,Critical,63.7
438,15636673,Login Issue,Medium,6.8
439,15594898,Billing,Low,4.9
440,15594898,App Bug,Critical,96.2
441,15594898,Loan Query,Medium,15.8
ticket_442,15594898,Loan Query,Medium,16.2
443,15660211,Billing,High,30.3
444,15660211,Billing,Low,2.7
445,15773972,Billing,Medium,4.1
446,15746726,Loan Query,Low,2.4
447,15712287,Card Problem,Medium,8.4
448,15797960,Fraud Alert,Medium,-5.0
449,15631868,Login Issue,Medium,11.6
450,15581539,Loan Query,Low,1.7
451,15662736,Loan Query,Medium,7.9
452,15666252,Login Issue,High,31.5
453,15677512,Card Problem,Medium,10.6
454,15677512,Loan Query,Low,2.3
455,15626114,Loan Query,Medium,7.0
456,15626114,Login Issue,Critical,
457,15626114,App Bug,Low,2.2
458,15626114,Loan Query,Low,1.6
459,15810834,Login Issue,Low,2.2
460,15678910,Fraud Alert,Critical,63.5
461,15694408,App Bug,Medium,6.9
462,15736601,Loan Query,Low,2.8
463,15736601,Billing,Medium,10.4
464,15601848,App Bug,Medium,4.9
465,15736008,Billing,High,54.4
466,15736008,Login Issue,High,43.0
467,15736008,Billing,Low,4.6
468,15624528,Loan Query,Low,2.6
469,15624528,Card Problem,Medium,10.5
470,15598493,Billing,Medium,8.7
471,15601274,Billing,High,17.2
ticket_472,15601274,Card Problem,Low,1.6
473,15702669,Fraud Alert,Medium,999.0
474,15728669,  Card Problem  ,Low,1.6
475,15728669,Login Issue,Medium,14.8
476,15728669,Billing,Medium,15.5
477,15697441,Fraud Alert,High,41.0
478,15697441,Fraud Alert,Medium,8.4
479,15648064,Billing,Medium,7.2
480,15636624,Billing,Low,1.3
481,15807923,App Bug,Medium,999.0
482,15807923,Card Problem,Low,3.4
483,15807923,Card Problem,Medium,9.2
484,15745844,Fraud Alert,Low,2.5
485,15786170,  Fraud Alert  ,Medium,7.7
486,15681081,Billing,Critical,32.4
487,15785869,Loan Query,Medium,10.6
488,15658935,App Bug,High,34.3
489,15658935,Fraud Alert,Low,2.9
490,15747358,Billing,High,25.0
491,15747358,Fraud Alert,Medium,4.7
492,15747358,Billing,Low,2.5
493,15747358,Loan Query,Medium,8.1
494,15735203,Login Issue,Low,1.6
495,15735203,Login Issue,Low,1.8
496,15576256,Loan Query,Medium,6.4
497,15576256,Login Issue,Low,2.9
498,15576256,Card Problem,Medium,11.4
499,15659420,Loan Query,Medium,7.1
500,15593365,Card Problem,Low,2.6
501,15593365,Fraud Alert,Medium,8.3
502,15593365,Loan Query,High,31.0
503,15777352,Card Problem,Low,1.0
504,15777352,Loan Query,Medium,6.8
505,15812007,App Bug,Critical,51.6
506,15625461,Fraud Alert,High,23.7
507,15625461,Loan Query,High,31.9
508,15625461,Billing,Medium,7.2
509,15739438,Loan Query,Low,2.0
510,15739438,Loan Query,Low,2.9
511,15611759,Fraud Alert,Low,2.2
512,15611759,Fraud Alert,High,18.7
513,15592386,App Bug,low,1.8
514,15803716,Card Problem,Medium,4.5
515,15803716,Billing,High,26.9
516,15696674,Loan Query,Low,1.3
517,82686843,Loan Query,Low,1.4
518,15706365,App Bug,Medium,5.8
519,15745088,Loan Query,Low,2.2
520,15676715,Fraud Alert,Medium,10.3
521,15676715,Card Problem,Medium,6.8
522,15613085,Fraud Alert,High,29.6
523,15633537,App Bug,Low,1.3
524,15633537,Login Issue,Low,1.5
525,15633537,App Bug,Medium,5.5
526,15633537,Login Issue,Low,1.0
527,15594720,Loan Query,Low,1.1
528,15684042,App Bug,Low,2.3
529,15583303,  Loan Query  ,Low,2.0
530,15583303,Login Issue,High,17.8
531,15611579,Fraud Alert,Low,1.8
532,15774696,Billing,Critical,30.4
533,15694506,App Bug,Critical,62.8
534,15694506,Loan Query,Low,2.9
535,15688074,Card Problem,High,23.9
536,15688074,Billing,Medium,5.8
537,15758449,Billing,Low,2.5
538,15583456,Card Problem,Low,1.2
539,15583456,Card Problem,Medium,16.8
540,15677371,Fraud Alert,Medium,6.8
541,15677371,Card Problem,Critical,70.6
542,15677371,Card Problem,Medium,5.5
543,15677371,Fraud Alert,Medium,8.4
544,15629677,Loan Query,low,1.1
545,15629677,Billing,High,49.6
546,15629677,Card Problem,Critical,88.1
547,15591509,Login Issue,High,27.5
548,15568240,Loan Query,High,19.7
549,15689294,Loan Query,Medium,8.7
550,15689294,Billing,Low,1.1
551,15689294,Billing,high,17.4
552,15689294,Login Issue,,2.1
553,15720910,App Bug,Critical,35.6
554,15721181,App Bug,Medium,4.1
555,15721181,Billing,Low,2.6
556,15748936,Fraud Alert,Medium,5.8
557,15717225,Loan Query,Medium,10.2
558,15717225,Fraud Alert,Low,1.6
559,15685226,Login Issue,Critical,2500.0
560,15685226,Loan Query,Low,2.4
561,15685226,Card Problem,High,17.1
562,15685226,Fraud Alert,Low,1.7
563,15785611,Fraud Alert,Medium,8.1
564,15573456,Billing,Medium,18.0
565,15573456,Login Issue,High,19.7
566,15684548,Card Problem,High,47.6
567,15684548,Login Issue,Critical,33.5
568,15620505,Fraud Alert,Low,2.5
569,15620505,Billing,Medium,5.5
570,15807432,Login Issue,Medium,8.2
571,15584766,Fraud Alert,Low,2.5
572,15584766,Loan Query,Medium,10.1
573,15646372,Loan Query,High,59.8
574,15646372,Login Issue,Low,3.6
575,15690452,App Bug,Medium,7.1
576,15690452,Login Issue,Low,1.4
577,15690452,Billing,Medium,6.8
578,15747795,App Bug,Medium,11.0
579,15781589,Loan Query,Low,2.2
580,15732674,Login Issue,Medium,9.4
581,15642291,Fraud Alert,Low,1.6
582,15578045,App Bug,Medium,19.7
583,15578045,App Bug,High,
584,15578045,Billing,Low,2.3
585,15691625,Loan Query,Medium,12.0
586,15686302,Fraud Alert,Medium,5.4
587,15801559,Login Issue,Medium,15.8
588,15801559,App Bug,,7.0
589,15801559,Card Problem,Critical,39.9
590,15801559,App Bug,Low,4.3
591,15810432,Card Problem,high,30.8
592,15810432,Card Problem,Low,1.9
593,15809616,App Bug,Medium,7.8
594,15720559,Loan Query,Medium,-1.0
595,15720559,Card Problem,Low,4.6
ticket_596,15695632,Fraud Alert,Medium,10.1
597,15810418,App Bug,High,34.7
598,15810418,Fraud Alert,Low,1.2
599,15674551,Login Issue,Low,4.1
600,15566111,Loan Query,Medium,10.2
601,15566111,Card Problem,Low,2.7
602,15652883,Billing,Low,2.1
603,15652883,Login Issue,High,14.1
604,15652883,App Bug,Medium,8.4
605,15576313,Login Issue,Low,2.5
606,15806467,App Bug,Low,3.9
607,15806467,Billing,Medium,one hour
608,15806467,App Bug,Critical,116.9
609,15806467,Loan Query,Low,1.6
610,15597602,billing,Low,3.7
611,15597602,Login Issue,Medium,5.8
612,15743040,Billing,Medium,10.3
613,15705521,Billing,Low,1.9
614,15595039,Billing,Low,3.7
615,15595039,Card Problem,Medium,11.4
616,15799384,Fraud Alert,Medium,4.5
617,15799384,Card Problem,High,23.0
618,15581197,Loan Query,N/A,1.5
619,15581197,Loan Query,Medium,10.1
620,15693737,Fraud Alert,Low,2.8
621,15690134,Billing,Medium,10.0
622,15690134,Fraud Alert,Low,1.1
623,15690134,Login Issue,Low,1.6
624,15782735,Billing,Low,2.3
625,15611088,Card Problem,Low,1.9
626,15732628,Loan Query,Low,2.6
627,15787470,Fraud Alert,Low,3.6
628,15803406,Loan Query,Low,2.4
629,15644572,Card Problem,Low,2.8
630,15694860,App Bug,Low,1.8
631,15694860,App Bug,Medium,17.1
632,15694860,Fraud Alert,Medium,Unknown
633,15694860,Card Problem,High,17.6
634,15658169,App Bug,Critical,44.1
635,15794396,Fraud Alert,Medium,5.3
636,15794396,Card Problem,Critical,55.5
637,15785798,Loan Query,Low,1.1
638,15785798,App Bug,High,13.9
639,15710825,Fraud Alert,Low,1.6
640,15710825,Loan Query,Medium,9.7
641,15710825,Loan Query,Critical,67.3
642,15710825,Login Issue,Medium,6.9
643,15668444,App Bug,High,24.6
644,15668444,Billing,Low,1.2
645,15634632,Fraud Alert,Medium,9.2
646,15707362,Card Problem,High,52.5
ticket_647,15707362,Login Issue,Medium,6.0
648,15707362,Loan Query,Low,3.7
649,15662976,Billing,Low,2.3
650,15662976,Card Problem,High,
651,15732778,App Bug,Medium,6.4
652,15732778,Fraud Alert,Low,1.6
653,15718443,Billing,High,17.6
654,15718443,Login Issue,High,28.0
655,15670039,Card Problem,High,12.0
656,15670039,Fraud Alert,Low,1.9
657,15773792,Card Problem,Low,1.5
658,15613786,Billing,Low,1.8
659,15613786,Fraud Alert,Medium,4.2
660,15613786,Card Problem,Low,2.7
661,15613786,Card Problem,Critical,63.6
662,15726032,Billing,Low,2.9
663,15726032,Loan Query,Low,2.7
ticket_664,15663252,App Bug,Medium,5.7
665,15593782,Billing,Low,2.0
666,15593782,Card Problem,Medium,8.8
667,15759298,Loan Query,Medium,-5.0
668,15759298,Fraud Alert,High,28.0
669,15683625,App Bug,Critical,84.1
670,15683625,Loan Query,High,25.7
671,15635367,App Bug,Critical,65.1
672,15603156,App Bug,Medium,4.9
673,15603156,Card Problem,Medium,4.3
674,15591986,app bug,High,39.4
675,15591986,Fraud Alert,Medium,5.3
676,15591986,Billing,Medium,16.4
677,15797736,Card Problem,Medium,10.3
ticket_678,15797736,Loan Query,Low,2.0
679,15797736,Card Problem,Low,2.6
680,15695585,Billing,Critical,52.8
681,15695585,Fraud Alert,Medium,9.1
682,15744398,Fraud Alert,Low,1.1
683,15744398,Loan Query,Low,1.3
684,15744398,App Bug,Medium,7.6
685,15750658,App Bug,Low,2.2
686,15578186,Billing,Medium,8.3
687,15613772,Billing,Low,4.2
688,15807709,App Bug,Low,1.6
689,15699005,Billing,Medium,11.0
690,15699005,Fraud Alert,Low,2.4
691,15624170,Billing,Low,1.5
692,15624170,App Bug,Low,2.5
693,15624170,Billing,Medium,8.9
694,15624170,Login Issue,High,34.9
695,15725679,Fraud Alert,High,12.1
696,15725679,Loan Query,Low,1.2
697,15725679,Fraud Alert,Medium,5.8
698,15585865,Loan Query,Medium,5.5
699,19515362,Loan Query,Medium,18.4
700,15585865,Login Issue,Low,2.4
701,15804256,Card Problem,Medium,6.9
702,54098765,Card Problem,Medium,8.0
703,15662403,Loan Query,Medium,11.0
704,15662403,App Bug,Medium,9.9
705,15662403,Login Issue,Low,2.1
706,15591995,App Bug,Low,2.0
707,15677020,Billing,High,50.8
708,15677020,Loan Query,Medium,14.4
709,15727688,App Bug,High,21.7
710,15714485,Login Issue,High,33.4
711,15714485,Loan Query,Low,2.8
712,15730059,Login Issue,Medium,6.6
713,15730059,Loan Query,Low,1.1
714,15730059,Loan Query,Medium,7.0
715,15715527,Billing,Low,2.8
716,15576623,Login Issue,Low,2.0
717,15576623,Card Problem,Medium,6.7
718,15576623,Fraud Alert,Medium,6.5
719,15805565,Loan Query,Medium,10.7
720,15805565,Billing,Medium,4.8
721,15773890,Card Problem,Low,2.0
722,15782236,Fraud Alert,Medium,7.2
723,29906556,Fraud Alert,High,23.0
724,15782236,App Bug,Low,2.7
725,15593601,Loan Query,Low,2.8
726,15593601,App Bug,Critical,50.2
727,15593601,Loan Query,Low,2.9
