ticket_key,issue_type,severity
268,Card Problem,Low
270,Login Issue,High
271,Loan Query,High
272,Billing,Low
273,Loan Query,Medium
274,Fraud Alert,High
275,Billing,Medium
276,Billing,Medium
277,Billing,Medium
278,App Bug,Critical
279,Loan Query,Medium
280,Fraud Alert,Low
281,Fraud Alert,Low
282,Login Issue,High
283,App Bug,Low
284,Login Issue,Low
285,Login Issue,High
286,Card Problem,Low
287,Card Problem,Low
288,Card Problem,Low
289,Fraud Alert,Low
290,Loan Query,Medium
291,Loan Query,Medium
292,Login Issue,Medium
293,Billing,Low
294,Login Issue,Medium
295,Loan Query,Low
296,Card Problem,Low
297,Billing,Low
298,Fraud Alert,Medium
299,App Bug,Critical
300,Fraud Alert,High
301,Loan Query,Critical
302,Login Issue,Critical
303,Login Issue,Medium
304,Fraud Alert,Medium
305,Card Problem,Low
306,Login Issue,Critical
307,Card Problem,Medium
308,Billing,Low
309,Loan Query,Medium
310,Loan Query,Low
311,Loan Query,Medium
312,Login Issue,High
313,Login Issue,Medium
314,Fraud Alert,Low
315,Fraud Alert,Critical
316,App Bug,High
317,Loan Query,Medium
318,Loan Query,High
319,Card Problem,Medium
320,Login Issue,Medium
321,Billing,Low
322,Billing,Low
323,Login Issue,Medium
325,Card Problem,High
326,Loan Query,High
327,Loan Query,High
328,Login Issue,Low
329,Fraud Alert,High
330,Card Problem,Critical
331,Card Problem,Medium
332,Fraud Alert,Low
333,App Bug,High
334,Billing,Low
335,Card Problem,High
336,Loan Query,High
337,Login Issue,Low
338,Card Problem,Medium
340,Login Issue,Low
341,Loan Query,Critical
342,App Bug,Medium
343,Login Issue,High
344,Billing,Medium
345,Loan Query,High
346,Card Problem,High
347,Loan Query,Low
348,App Bug,Medium
349,Login Issue,High
350,Fraud Alert,Low
351,Login Issue,High
352,App Bug,Medium
353,Billing,Medium
354,Fraud Alert,Low
355,Loan Query,Low
356,Fraud Alert,Low
357,Loan Query,High
358,Card Problem,Medium
359,Billing,Low
360,Card Problem,Low
361,App Bug,High
362,Loan Query,Medium
363,Login Issue,Medium
364,Login Issue,Low
365,App Bug,Medium
366,Login Issue,Medium
367,Card Problem,High
368,Loan Query,Low
369,Loan Query,High
370,Card Problem,Low
371,Billing,Medium
372,Loan Query,Medium
373,Billing,Critical
374,App Bug,Medium
375,Billing,Medium
376,Fraud Alert,Low
377,Fraud Alert,Medium
378,Card Problem,Low
379,App Bug,Critical
380,Card Problem,Medium
381,Card Problem,High
382,Billing,Medium
383,Fraud Alert,Low
384,Login Issue,Medium
386,Login Issue,High
387,Login Issue,Low
388,Card Problem,Low
389,Billing,Low
390,Billing,Critical
391,Fraud Alert,High
392,Card Problem,High
393,Login Issue,Medium
394,Loan Query,Medium
395,Fraud Alert,Medium
396,Card Problem,Medium
397,App Bug,Critical
398,Login Issue,Medium
399,App Bug,Low
400,Login Issue,Critical
401,Fraud Alert,Medium
402,Loan Query,Low
403,Login Issue,Low
404,Loan Query,Medium
405,Login Issue,High
406,Loan Query,High
407,Loan Query,Medium
408,Fraud Alert,Low
409,Login Issue,Low
410,Loan Query,Medium
411,Fraud Alert,Low
412,Fraud Alert,Medium
413,Loan Query,Medium
414,Loan Query,Medium
415,Billing,Low
416,Billing,High
417,Card Problem,Low
418,Login Issue,High
419,App Bug,Medium
420,Loan Query,Medium
421,Loan Query,Medium
422,Loan Query,High
423,Card Problem,High
424,Card Problem,Critical
425,App Bug,Medium
426,Login Issue,Medium
427,Login Issue,Low
428,Card Problem,Critical
429,Loan Query,Medium
430,Loan Query,Low
431,Login Issue,Low
432,App Bug,Low
433,Login Issue,High
434,Fraud Alert,Critical
435,Billing,Medium
436,Card Problem,Medium
437,App Bug,Critical
438,Login Issue,Medium
439,Billing,Low
440,App Bug,Critical
441,Loan Query,Medium
443,Billing,High
444,Billing,Low
445,Billing,Medium
446,Loan Query,Low
447,Card Problem,Medium
448,Fraud Alert,Medium
449,Login Issue,Medium
450,Loan Query,Low
451,Loan Query,Medium
452,Login Issue,High
453,Card Problem,Medium
454,Loan Query,Low
455,Loan Query,Medium
456,Login Issue,Critical
457,App Bug,Low
458,Loan Query,Low
459,Login Issue,Low
460,Fraud Alert,Critical
461,App Bug,Medium
462,Loan Query,Low
463,Billing,Medium
464,App Bug,Medium
465,Billing,High
466,Login Issue,High
467,Billing,Low
468,Loan Query,Low
469,Card Problem,Medium
470,Billing,Medium
471,Billing,High
473,Fraud Alert,Medium
474,Card Problem,Low
475,Login Issue,Medium
476,Billing,Medium
477,Fraud Alert,High
478,Fraud Alert,Medium
479,Billing,Medium
480,Billing,Low
481,App Bug,Medium
482,Card Problem,Low
483,Card Problem,Medium
484,Fraud Alert,Low
485,Fraud Alert,Medium
486,Billing,Critical
487,Loan Query,Medium
488,App Bug,High
489,Fraud Alert,Low
490,Billing,High
491,Fraud Alert,Medium
492,Billing,Low
493,Loan Query,Medium
494,Login Issue,Low
495,Login Issue,Low
496,Loan Query,Medium
497,Login Issue,Low
498,Card Problem,Medium
499,Loan Query,Medium
500,Card Problem,Low
501,Fraud Alert,Medium
502,Loan Query,High
503,Card Problem,Low
504,Loan Query,Medium
505,App Bug,Critical
506,Fraud Alert,High
507,Loan Query,High
508,Billing,Medium
509,Loan Query,Low
510,Loan Query,Low
511,Fraud Alert,Low
512,Fraud Alert,High
513,App Bug,Low
514,Card Problem,Medium
515,Billing,High
516,Loan Query,Low
518,App Bug,Medium
519,Loan Query,Low
520,Fraud Alert,Medium
521,Card Problem,Medium
522,Fraud Alert,High
523,App Bug,Low
524,Login Issue,Low
525,App Bug,Medium
526,Login Issue,Low
527,Loan Query,Low
528,App Bug,Low
529,Loan Query,Low
530,Login Issue,High
531,Fraud Alert,Low
532,Billing,Critical
533,App Bug,Critical
534,Loan Query,Low
535,Card Problem,High
536,Billing,Medium
537,Billing,Low
538,Card Problem,Low
539,Card Problem,Medium
540,Fraud Alert,Medium
541,Card Problem,Critical
542,Card Problem,Medium
543,Fraud Alert,Medium
544,Loan Query,Low
545,Billing,High
546,Card Problem,Critical
547,Login Issue,High
548,Loan Query,High
549,Loan Query,Medium
550,Billing,Low
551,Billing,High
552,Login Issue,Low
553,App Bug,Critical
554,App Bug,Medium
555,Billing,Low
556,Fraud Alert,Medium
557,Loan Query,Medium
558,Fraud Alert,Low
559,Login Issue,Critical
560,Loan Query,Low
561,Card Problem,High
562,Fraud Alert,Low
563,Fraud Alert,Medium
564,Billing,Medium
565,Login Issue,High
566,Card Problem,High
567,Login Issue,Critical
568,Fraud Alert,Low
569,Billing,Medium
570,Login Issue,Medium
571,Fraud Alert,Low
572,Loan Query,Medium
573,Loan Query,High
574,Login Issue,Low
575,App Bug,Medium
576,Login Issue,Low
577,Billing,Medium
578,App Bug,Medium
579,Loan Query,Low
580,Login Issue,Medium
581,Fraud Alert,Low
582,App Bug,Medium
583,App Bug,High
584,Billing,Low
585,Loan Query,Medium
586,Fraud Alert,Medium
587,Login Issue,Medium
588,App Bug,Low
589,Card Problem,Critical
590,App Bug,Low
591,Card Problem,High
592,Card Problem,Low
593,App Bug,Medium
594,Loan Query,Medium
595,Card Problem,Low
597,App Bug,High
598,Fraud Alert,Low
599,Login Issue,Low
600,Loan Query,Medium
601,Card Problem,Low
602,Billing,Low
603,Login Issue,High
604,App Bug,Medium
605,Login Issue,Low
606,App Bug,Low
607,Billing,Medium
608,App Bug,Critical
609,Loan Query,Low
610,Billing,Low
611,Login Issue,Medium
612,Billing,Medium
613,Billing,Low
614,Billing,Low
615,Card Problem,Medium
616,Fraud Alert,Medium
617,Card Problem,High
618,Loan Query,Low
619,Loan Query,Medium
620,Fraud Alert,Low
621,Billing,Medium
622,Fraud Alert,Low
623,Login Issue,Low
624,Billing,Low
625,Card Problem,Low
626,Loan Query,Low
627,Fraud Alert,Low
628,Loan Query,Low
629,Card Problem,Low
630,App Bug,Low
631,App Bug,Medium
632,Fraud Alert,Medium
633,Card Problem,High
634,App Bug,Critical
635,Fraud Alert,Medium
636,Card Problem,Critical
637,Loan Query,Low
638,App Bug,High
639,Fraud Alert,Low
640,Loan Query,Medium
641,Loan Query,Critical
642,Login Issue,Medium
643,App Bug,High
644,Billing,Low
645,Fraud Alert,Medium
646,Card Problem,High
648,Loan Query,Low
649,Billing,Low
650,Card Problem,High
651,App Bug,Medium
652,Fraud Alert,Low
653,Billing,High
654,Login Issue,High
655,Card Problem,High
656,Fraud Alert,Low
657,Card Problem,Low
658,Billing,Low
659,Fraud Alert,Medium
660,Card Problem,Low
661,Card Problem,Critical
662,Billing,Low
663,Loan Query,Low
665,Billing,Low
666,Card Problem,Medium
667,Loan Query,Medium
668,Fraud Alert,High
669,App Bug,Critical
670,Loan Query,High
671,App Bug,Critical
672,App Bug,Medium
673,Card Problem,Medium
674,App Bug,High
675,Fraud Alert,Medium
676,Billing,Medium
677,Card Problem,Medium
679,Card Problem,Low
680,Billing,Critical
681,Fraud Alert,Medium
682,Fraud Alert,Low
683,Loan Query,Low
684,App Bug,Medium
685,App Bug,Low
686,Billing,Medium
687,Billing,Low
688,App Bug,Low
689,Billing,Medium
690,Fraud Alert,Low
691,Billing,Low
692,App Bug,Low
693,Billing,Medium
694,Login Issue,High
695,Fraud Alert,High
696,Loan Query,Low
697,Fraud Alert,Medium
698,Loan Query,Medium
700,Login Issue,Low
701,Card Problem,Medium
703,Loan Query,Medium
704,App Bug,Medium
705,Login Issue,Low
706,App Bug,Low
707,Billing,High
708,Loan Query,Medium
709,App Bug,High
710,Login Issue,High
711,Loan Query,Low
712,Login Issue,Medium
713,Loan Query,Low
714,Loan Query,Medium
715,Billing,Low
716,Login Issue,Low
717,Card Problem,Medium
718,Fraud Alert,Medium
719,Loan Query,Medium
720,Billing,Medium
721,Card Problem,Low
722,Fraud Alert,Medium
724,App Bug,Low
725,Loan Query,Low
726,App Bug,Critical
727,Loan Query,Low
728,Fraud Alert,Low
729,Login Issue,Low
730,Card Problem,Low
731,Login Issue,High
732,Card Problem,Critical
733,Login Issue,Critical
734,Billing,Medium
735,Login Issue,Low
736,Loan Query,Medium
738,App Bug,High
739,Fraud Alert,Medium
740,Loan Query,Low
741,Fraud Alert,Medium
742,Fraud Alert,Critical
743,Billing,Low
744,Billing,Medium
745,Card Problem,Medium
746,Loan Query,Medium
747,Loan Query,Medium
748,Billing,Low
749,Card Problem,Low
750,App Bug,Low
751,Fraud Alert,High
752,Login Issue,Medium
753,Loan Query,Medium
754,Billing,Low
755,Login Issue,High
756,Card Problem,High
757,Billing,Medium
758,Billing,High
759,Billing,High
760,Loan Query,Medium
761,Card Problem,Low
762,App Bug,Medium
763,Login Issue,Critical
764,Login Issue,Low
765,Login Issue,Medium
766,Card Problem,Low
767,Card Problem,High
768,Billing,Low
769,Card Problem,Low
770,Billing,Medium
771,Login Issue,Medium
772,Login Issue,Medium
773,Loan Query,Low
775,Login Issue,Low
776,Billing,Low
777,Login Issue,Low
778,Login Issue,Medium
779,Loan Query,Medium
780,Billing,Low
781,Login Issue,Low
782,Card Problem,Low
783,Loan Query,High
784,App Bug,Low
785,Login Issue,Low
786,Loan Query,High
787,Loan Query,Critical
788,Login Issue,High
789,Loan Query,Low
790,Fraud Alert,Medium
791,Billing,High
792,Loan Query,Low
793,Card Problem,Low
794,Loan Query,Medium
795,Login Issue,Medium
796,Card Problem,Critical
797,Fraud Alert,Low
798,App Bug,Low
799,Login Issue,Low
800,App Bug,Low
801,Loan Query,Low
802,Fraud Alert,Low
803,App Bug,Medium
804,Loan Query,Medium
805,Loan Query,Low
806,Fraud Alert,Medium
807,App Bug,Low
808,Loan Query,Low
809,App Bug,Medium
810,Card Problem,Medium
811,Billing,Low
812,Card Problem,Low
813,Login Issue,Low
814,Loan Query,Medium
815,Billing,Low
816,Loan Query,Medium
817,Login Issue,Low
818,Card Problem,High
819,Loan Query,Low
821,Billing,Low
822,Login Issue,High
823,Loan Query,Medium
824,Login Issue,Medium
825,App Bug,Low
826,Fraud Alert,Critical
827,App Bug,Medium
828,Fraud Alert,Medium
829,Billing,Low
830,Login Issue,Low
831,Loan Query,Low
832,Card Problem,Critical
833,Card Problem,Critical
834,Fraud Alert,Medium
835,Card Problem,Critical
836,Billing,Medium
837,Login Issue,Critical
838,Fraud Alert,Low
839,Billing,Medium
840,Loan Query,Medium
841,Fraud Alert,Medium
842,Loan Query,High
843,Login Issue,Low
844,Card Problem,Low
845,App Bug,Low
846,Login Issue,Medium
847,Login Issue,Low
848,App Bug,Critical
849,Loan Query,Medium
850,Billing,High
851,App Bug,Low
852,Login Issue,Low
853,Login Issue,High
854,App Bug,High
855,Login Issue,Low
856,Card Problem,Low
857,Loan Query,Medium
858,Login Issue,Low
859,Loan Query,High
860,App Bug,High
861,Card Problem,Medium
862,Card Problem,Low
863,App Bug,Low
864,App Bug,Low
865,Loan Query,High
866,App Bug,Low
867,App Bug,Low
868,App Bug,Medium
869,Login Issue,Medium
870,Loan Query,Low
871,Loan Query,Critical
872,Login Issue,Medium
873,Fraud Alert,High
874,Loan Query,Low
875,App Bug,High
876,Login Issue,Low
877,Fraud Alert,Medium
878,Login Issue,Medium
879,Billing,Low
880,Card Problem,High
881,Card Problem,Critical
882,App Bug,Low
883,Card Problem,High
884,Fraud Alert,Low
885,Loan Query,High
886,Billing,Medium
887,Loan Query,Low
888,Login Issue,High
890,Loan Query,Critical
891,Billing,Medium
892,Card Problem,Low
893,Fraud Alert,Medium
894,Card Problem,Medium
895,Loan Query,High
896,Billing,Low
897,Card Problem,Low
898,Card Problem,High
899,Fraud Alert,Low
900,Loan Query,Low
901,Fraud Alert,Low
902,Login Issue,Low
903,Login Issue,Medium
904,Fraud Alert,Critical
905,App Bug,High
906,Login Issue,Low
907,Login Issue,Low
908,App Bug,Low
909,Login Issue,Critical
910,Loan Query,Medium
911,Login Issue,Low
912,Login Issue,Low
913,Card Problem,Medium
914,Loan Query,Low
915,Login Issue,Medium
916,Card Problem,Low
917,Billing,Low
918,Loan Query,Medium
919,Loan Query,Low
920,Card Problem,Low
921,Card Problem,Medium
922,Loan Query,High
923,Loan Query,Medium
924,Card Problem,Critical
925,Login Issue,Low
926,Fraud Alert,Medium
927,Fraud Alert,Low
928,App Bug,Low
929,App Bug,Medium
930,Card Problem,Medium
931,Billing,Medium
932,Billing,Medium
933,Loan Query,High
934,Login Issue,Low
935,Card Problem,Medium
936,Login Issue,Low
937,App Bug,High
938,Fraud Alert,High
939,Card Problem,Medium
940,App Bug,High
942,Card Problem,High
943,Card Problem,Medium
944,Loan Query,Medium
945,Login Issue,Low
946,Loan Query,Low
947,App Bug,Low
948,Loan Query,Medium
949,Billing,Medium
950,App Bug,High
951,Loan Query,High
952,Billing,Medium
953,Login Issue,Medium
954,App Bug,High
955,Login Issue,Low
956,Fraud Alert,Low
957,Billing,Medium
958,Fraud Alert,Low
959,App Bug,Medium
960,App Bug,Medium
961,Fraud Alert,Medium
962,Fraud Alert,Medium
963,Loan Query,Low
964,Login Issue,Medium
965,Fraud Alert,Medium
966,Billing,Medium
967,Card Problem,Medium
968,App Bug,Medium
969,Fraud Alert,Medium
970,App Bug,Medium
971,Login Issue,Medium
972,Login Issue,Medium
973,App Bug,Low
974,Card Problem,High
975,App Bug,Low
976,Billing,Medium
977,App Bug,Medium
978,Card Problem,High
979,Billing,Medium
980,Fraud Alert,Medium
981,Login Issue,Low
982,Loan Query,Low
983,Loan Query,Low
984,App Bug,Critical
985,Card Problem,Medium
986,Card Problem,Low
987,Card Problem,Low
988,Card Problem,Low
989,Card Problem,Medium
990,Billing,Low
991,Billing,Medium
992,App Bug,Medium
993,Card Problem,Medium
994,Loan Query,Medium
995,App Bug,Low
996,Login Issue,Medium
997,Login Issue,Medium
998,Card Problem,Medium
999,Fraud Alert,Medium
1000,Billing,Medium
1001,Loan Query,Medium
1002,Billing,High
1003,Fraud Alert,Low
1004,Loan Query,Low
1005,Fraud Alert,Low
1006,Fraud Alert,High
1007,Loan Query,High
1008,Fraud Alert,Medium
1009,Fraud Alert,Low
1010,Fraud Alert,Medium
1011,App Bug,High
1012,Card Problem,Medium
1013,Card Problem,Medium
1014,Card Problem,Critical
1015,Card Problem,High
1016,App Bug,Medium
1017,Loan Query,High
1018,Fraud Alert,Low
1019,Loan Query,High
1020,App Bug,Medium
1021,Billing,High
1022,App Bug,Medium
1023,Card Problem,Low
1024,Card Problem,Low
1025,Login Issue,Medium
1026,Loan Query,Medium
1027,App Bug,Medium
1028,Login Issue,Medium
1029,Loan Query,Low
1030,Billing,Medium
1031,Loan Query,Low
1032,Fraud Alert,Medium
1033,App Bug,Medium
1034,Billing,Low
1035,Loan Query,Medium
1036,Fraud Alert,Medium
1037,App Bug,Medium
1038,Fraud Alert,High
1039,Fraud Alert,Medium
1040,Billing,Low
1041,Fraud Alert,Medium
1042,Card Problem,Low
1043,Billing,Medium
1044,Billing,Low
1045,Fraud Alert,Medium
1046,App Bug,Low
1047,Login Issue,Critical
1048,Login Issue,Low
1049,Card Problem,Medium
1050,Login Issue,Medium
1051,Loan Query,Low
1052,Loan Query,High
1053,Fraud Alert,Low
1054,Loan Query,Medium
1055,Loan Query,High
1056,Fraud Alert,Low
1057,Fraud Alert,High
1058,Login Issue,Low
1059,Fraud Alert,High
1060,Fraud Alert,High
1061,Loan Query,Low
1062,Billing,Low
1063,Login Issue,Medium
1064,Billing,Low
1065,Login Issue,Low
1066,Login Issue,Medium
1067,Billing,High
1068,App Bug,Low
1069,Loan Query,Medium
1070,Billing,Medium
1071,Loan Query,Medium
1072,App Bug,Medium
1073,Fraud Alert,High
1074,Fraud Alert,Medium
1075,Fraud Alert,Low
1076,Card Problem,Low
1077,Fraud Alert,Low
1078,Fraud Alert,Medium
1079,Card Problem,Low
1080,Card Problem,High
1081,Fraud Alert,High
1082,Fraud Alert,Critical
1083,Loan Query,Medium
1084,App Bug,High
1085,Billing,Low
1086,Login Issue,Low
1087,Card Problem,Critical
1088,App Bug,Low
1089,Login Issue,Medium
1090,App Bug,Medium
1091,Fraud Alert,High
1092,Billing,Medium
1093,Login Issue,Medium
1094,Fraud Alert,Low
1095,Fraud Alert,Medium
1096,Billing,High
1097,App Bug,Low
1098,Card Problem,Low
1099,Login Issue,Low
1100,Billing,High
1101,Fraud Alert,High
1102,Card Problem,Low
1103,Card Problem,High
1104,Loan Query,Low
1105,Fraud Alert,Medium
1106,Loan Query,Medium
1107,Login Issue,Low
1108,Billing,Medium
1109,Login Issue,Medium
1110,Card Problem,Low
1111,Billing,High
1112,Loan Query,Low
1113,Loan Query,Low
1114,App Bug,Low
1115,Fraud Alert,Medium
1116,Card Problem,Medium
1117,Login Issue,High
1118,Card Problem,Critical
1119,Login Issue,Medium
1120,Loan Query,Low
1121,Billing,Low
1122,Card Problem,Medium
1123,Billing,Low
1124,Loan Query,Low
1125,Login Issue,Low
1126,Login Issue,Medium
1128,Loan Query,Medium
1129,Card Problem,High
1130,Loan Query,Medium
1131,App Bug,High
1132,Card Problem,Low
1133,Billing,Critical
1134,Card Problem,High
1135,Loan Query,Medium
1136,App Bug,High
1137,Fraud Alert,Low
1138,Loan Query,Medium
1139,Fraud Alert,Low
1140,Billing,Low
1141,Login Issue,Low
1142,App Bug,High
1144,Fraud Alert,Medium
1145,Fraud Alert,Low
1146,Card Problem,High
1147,Login Issue,Low
1148,App Bug,Medium
1149,Card Problem,Low
1150,Fraud Alert,Critical
1151,Loan Query,High
1152,Billing,Critical
1153,Login Issue,Low
1155,Card Problem,High
1156,Fraud Alert,Medium
1157,Loan Query,Low
1158,Card Problem,Low
1159,App Bug,Medium
1160,Login Issue,Low
1161,Fraud Alert,Low
1163,Fraud Alert,Low
1164,Fraud Alert,Medium
1165,Fraud Alert,Low
1166,App Bug,Medium
1167,Card Problem,High
1168,Card Problem,Medium
1169,Billing,Critical
1170,Fraud Alert,Low
1171,Fraud Alert,Medium
1172,Card Problem,High
1173,Fraud Alert,Critical
1174,Billing,Medium
1175,Fraud Alert,Medium
1176,Billing,High
1177,Fraud Alert,High
1178,Fraud Alert,Low
1179,App Bug,Low
1180,Billing,High
1181,Fraud Alert,High
1182,Card Problem,Low
1183,Login Issue,Low
1184,Login Issue,High
1185,Fraud Alert,Medium
1186,Card Problem,Medium
1187,Fraud Alert,High
1188,App Bug,Low
1189,Loan Query,High
1190,Loan Query,High
1191,Fraud Alert,Low
1192,App Bug,High
1193,Fraud Alert,Low
1194,App Bug,Low
1195,Loan Query,High
1196,Login Issue,Low
1197,App Bug,Low
1198,Loan Query,Low
1199,Loan Query,High
1200,Loan Query,High
1201,Loan Query,Low
1202,Fraud Alert,Medium
1203,Login Issue,Low
1204,Loan Query,Medium
1205,Billing,High
1206,App Bug,Medium
1207,Login Issue,High
1208,Billing,Medium
1209,Card Problem,Medium
1210,Billing,Medium
1211,Loan Query,Critical
1212,Login Issue,High
1213,Login Issue,High
1214,Card Problem,Low
1215,Billing,Low
1216,Login Issue,Critical
1217,Billing,Medium
1218,Login Issue,Low
1219,App Bug,Medium
1220,Login Issue,Low
1221,Login Issue,Low
1222,Loan Query,Low
1223,Login Issue,Low
1224,Card Problem,Medium
1225,Card Problem,Medium
1226,Loan Query,High
1227,App Bug,Low
1228,Loan Query,Low
1229,App Bug,Low
1230,App Bug,Low
1231,Loan Query,High
1232,App Bug,Medium
1233,Loan Query,Low
1234,Billing,Low
1235,Loan Query,Medium
1236,Loan Query,High
1237,Loan Query,Medium
1238,Card Problem,Low
1239,Fraud Alert,Low
1240,App Bug,Low
1241,Billing,Critical
1242,Login Issue,High
1243,Billing,Medium
1244,Card Problem,Medium
1245,Card Problem,High
1246,Fraud Alert,High
1247,Billing,Low
1248,App Bug,Medium
1249,App Bug,Low
1250,Loan Query,Medium
1251,Card Problem,Medium
1252,Loan Query,Medium
1253,App Bug,High
1254,Login Issue,Low
1255,Card Problem,Medium
1256,Card Problem,Low
1257,Fraud Alert,Critical
1258,Card Problem,Low
1259,Fraud Alert,Medium
1260,Card Problem,Medium
